id,sessionUniqueId,bodyUniqueId,name,startDate,endDate,yearOnly,createdAt,updatedAt,personRcsId,positionId
1,,,1st Grand Marshal,1865-01-01,1866-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,albert_m_harper,1
2,,,2nd Grand Marshal,1866-01-01,1867-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,frank_j_hearne,1
3,,,3rd Grand Marshal,1867-01-01,1868-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,virgil_g_bogue,1
4,,,4th Grand Marshal,1868-01-01,1869-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,john_pierpoint,1
5,,,5th Grand Marshal,1869-01-01,1870-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,thomas_on_morris,1
6,,,6th Grand Marshal,1870-01-01,1871-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,george_c_macgregor,1
7,,,7th Grand Marshal,1871-01-01,1872-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,david_reeves,1
8,,,8th Grand Marshal,1872-01-01,1873-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,daniel_a_tompkins,1
9,,,9th Grand Marshal,1873-01-01,1874-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_n_caldwell,1
10,,,10th Grand Marshal,1874-01-01,1875-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_l_fox,1
11,,,11st Grand Marshal,1875-01-01,1876-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,morris_s_verner,1
12,,,12nd Grand Marshal,1876-01-01,1877-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,coddington_billings_jr,1
13,,,13rd Grand Marshal,1877-01-01,1878-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,george_s_davison,1
14,,,14th Grand Marshal,1878-01-01,1879-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,robert_r_bridgers,1
15,,,15th Grand Marshal,1879-01-01,1880-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,frederick_s_young,1
16,,,16th Grand Marshal,1880-01-01,1881-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,thomas_d_whistler,1
17,,,17th Grand Marshal,1881-01-01,1882-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,independence_grove,1
18,,,18th Grand Marshal,1882-01-01,1883-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,robert_j_pratt,1
19,,,19th Grand Marshal,1883-01-01,1884-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_a_aycrigg,1
20,,,20th Grand Marshal,1884-01-01,1885-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,leverett_s_miller,1
21,,,21st Grand Marshal,1885-01-01,1886-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_e_larrowe,1
22,,,22nd Grand Marshal,1886-01-01,1886-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,edward_b_ashby,1
23,,,23rd Grand Marshal,1886-01-01,1887-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,halsey_b_pomeroy,1
24,,,24th Grand Marshal,1887-01-01,1888-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_m_africa,1
25,,,25th Grand Marshal,1888-01-01,1889-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,paul_o_hebert,1
26,,,26th Grand Marshal,1889-01-01,1890-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_easby_jr,1
27,,,27th Grand Marshal,1894-01-01,1895-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,athol_m_miller,1
28,,,28th Grand Marshal,1895-01-01,1896-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,henry_b_voorhees,1
29,,,29th Grand Marshal,1896-01-01,1897-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,charles_j_mcdonough,1
30,,,30th Grand Marshal,1897-01-01,1898-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,thomas_r_lawson,1
31,,,31st Grand Marshal,1898-01-01,1899-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,gustave_a_keller,1
32,,,32nd Grand Marshal,1899-01-01,1800-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,parley_l_williams_jr,1
33,,,33rd Grand Marshal,1900-01-01,1901-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_w_davis,1
34,,,34th Grand Marshal,1901-01-01,1902-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_h_young,1
35,,,35th Grand Marshal,1902-01-01,1903-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,edward_w_banker,1
36,,,36th Grand Marshal,1903-01-01,1904-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,homer_g_whitmore,1
37,,,37th Grand Marshal,1904-01-01,1905-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,cuyler_w_lush,1
38,,,38th Grand Marshal,1905-01-01,1906-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_s_lozier,1
39,,,39th Grand Marshal,1906-01-01,1907-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,herman_s_chalfant,1
40,,,40th Grand Marshal,1907-01-01,1908-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,horace_w_rinearson,1
41,,,41st Grand Marshal,1908-01-01,1909-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,robert_a_searle,1
42,,,42nd Grand Marshal,1909-01-01,1910-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,carl_w_schedler_jr,1
43,,,43rd Grand Marshal,1910-01-01,1911-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_t_ganson,1
44,,,44th Grand Marshal,1911-01-01,1912-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,frank_b_watkins,1
45,,,45th Grand Marshal,1912-01-01,1913-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,edward_dp_gross,1
46,,,46th Grand Marshal,1913-01-01,1914-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,philip_c_rummel_jr,1
47,,,47th Grand Marshal,1914-01-01,1915-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,glenn_w_tisdal,1
48,,,48th Grand Marshal,1915-01-01,1916-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,john_h_howard,1
49,,,49th Grand Marshal,1916-01-01,1917-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,walter_l_johnson_jr,1
50,,,50th Grand Marshal,1917-01-01,1918-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,harry_f_parrott,1
51,,,51st Grand Marshal,1918-01-01,1919-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,newell_l_nussbaumer,1
52,,,52nd Grand Marshal,1919-01-01,1920-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,john_van_n_richards,1
53,,,53rd Grand Marshal,1920-01-01,1921-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,john_s_thompson,1
54,,,54th Grand Marshal,1921-01-01,1922-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,neal_d_howard,1
55,,,55th Grand Marshal,1922-01-01,1923-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,gardner_s_staunton,1
56,,,56th Grand Marshal,1923-01-01,1924-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,william_m_stilwell_jr,1
57,,,57th Grand Marshal,1924-01-01,1925-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,george_v_robbins,1
58,,,58th Grand Marshal,1925-01-01,1926-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,h_fuller_stearns,1
59,,,59th Grand Marshal,1926-01-01,1927-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,marvin_h_anderson,1
60,,,60th Grand Marshal,1927-01-01,1928-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,james_m_robbins,1
61,,,61st Grand Marshal,1928-01-01,1929-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,bernard_f_wade,1
62,,,62nd Grand Marshal,1929-01-01,1930-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,edward_p_kennedy,1
63,,,63rd Grand Marshal,1930-01-01,1931-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,richard_e_warren,1
64,,,64th Grand Marshal,1931-01-01,1932-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,meredith_h_thompson,1
65,,,65th Grand Marshal,1932-01-01,1933-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,howard_h_disbrow,1
66,,,66th Grand Marshal,1933-01-01,1934-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,carl_h_wunnenberg,1
67,,,67th Grand Marshal,1934-01-01,1935-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,j_russell_schwarting,1
68,,,68th Grand Marshal,1935-01-01,1936-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,walter_f_powers_jr,1
69,,,69th Grand Marshal,1936-01-01,1937-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,richard_v_anderson,1
70,,,70th Grand Marshal,1937-01-01,1938-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,king_ward,1
71,,,71st Grand Marshal,1938-01-01,1939-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,eustace_p_hetzel,1
72,,,72nd Grand Marshal,1939-01-01,1940-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,henry_t_moeckel,1
73,,,73rd Grand Marshal,1940-01-01,1941-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,frank_j_sherry,1
74,,,74th Grand Marshal,1941-01-01,1942-01-01,t,2020-11-18 21:16:45.084+00,2020-11-18 21:16:45.084+00,w_lambert_hawks,1
