bodyUniqueId,uniqueId,name,active,createdAt,updatedAt
senate,51,51th Student Senate,t,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,50,50th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,49,49th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,48,48th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,47,47th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,46,46th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,45,45th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,44,44th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,43,43rd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,42,42nd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,41,41st Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,40,40th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,39,39th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,38,38th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,37,37th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,36,36th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,35,35th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,34,34th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,33,33rd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,32,32nd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,31,31st Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,30,30th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,29,29th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,28,28th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,27,27th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,26,26th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,25,25th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,24,24th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,23,23rd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,22,22nd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,21,21st Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,20,20th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,19,19th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,18,18th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,17,17th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,16,16th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,15,15th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,14,14th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,13,13th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,12,12th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,11,11th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,10,10th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,9,9th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,8,8th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,7,7th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,6,6th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,5,5th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,4,4th Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,3,3rd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,2,2nd Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
senate,1,1st Student Senate,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,20-21,2020-21 Executive Board,t,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,19-20,2019-20 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,18-19,2018-19 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,17-18,2017-18 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,16-17,2016-17 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,15-16,2015-16 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,14-15,2014-15 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,13-14,2013-14 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,12-13,2012-13 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,11-12,2011-12 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
eboard,10-11,2010-11 Executive Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,20-21,2020-21 Judicial Board,t,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,19-20,2019-20 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,18-19,2018-19 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,17-18,2017-18 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,16-17,2016-17 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,15-16,2015-16 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,14-15,2014-15 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,13-14,2013-14 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,12-13,2012-13 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,11-12,2011-12 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
jboard,10-11,2010-11 Judicial Board,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,20-21,2020-21 Undergraduate Council,t,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,19-20,2019-20 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,18-19,2018-19 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,17-18,2017-18 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,16-17,2016-17 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,15-16,2015-16 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,14-15,2014-15 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,13-14,2013-14 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,12-13,2012-13 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,11-12,2011-12 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
uc,10-11,2010-11 Undergraduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,20-21,2020-21 Graduate Council,t,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,19-20,2019-20 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,18-19,2018-19 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,17-18,2017-18 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,16-17,2016-17 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,15-16,2015-16 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,14-15,2014-15 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,13-14,2013-14 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,12-13,2012-13 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,11-12,2011-12 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
gc,10-11,2010-11 Graduate Council,f,2020-11-18 21:16:44.689+00,2020-11-18 21:16:44.689+00
